"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Jordan Reed",5900,"PHI@WAS 01:00PM ET",13.046,"WAS"
"WR","Kelvin Benjamin",5900,"CAR@SF 04:25PM ET",12.569,"CAR"
"WR","Alshon Jeffery",5800,"PHI@WAS 01:00PM ET",12.425,"PHI"
"RB","Ty Montgomery",5800,"SEA@GB 04:25PM ET",10.183,"GB"
"QB","Andy Dalton",5700,"BAL@CIN 01:00PM ET",17.728,"CIN"
"RB","Leonard Fournette",5700,"JAX@HOU 01:00PM ET",0,"JAX"
"WR","Jamison Crowder",5600,"PHI@WAS 01:00PM ET",12.969,"WAS"
"QB","Eli Manning",5600,"NYG@DAL 08:30PM ET",15.955,"NYG"
"RB","Joe Mixon",5500,"BAL@CIN 01:00PM ET",0,"CIN"
"QB","Joe Flacco",5500,"BAL@CIN 01:00PM ET",17.030,"BAL"
"RB","Derrick Henry",5500,"OAK@TEN 01:00PM ET",6.606,"TEN"
"QB","Derek Anderson",5500,"CAR@SF 04:25PM ET",4.504,"CAR"
"RB","Tevin Coleman",5400,"ATL@CHI 01:00PM ET",15.093,"ATL"
"QB","Jay Cutler",5400,"TB@MIA 01:00PM ET",10.752,"MIA"
"WR","Jarvis Landry",5400,"TB@MIA 01:00PM ET",15.853,"MIA"
"RB","Christian McCaffrey",5400,"CAR@SF 04:25PM ET",0,"CAR"
"RB","Isaiah Crowell",5300,"PIT@CLE 01:00PM ET",13.694,"CLE"
"WR","DeVante Parker",5300,"TB@MIA 01:00PM ET",10.619,"MIA"
"RB","Marshawn Lynch",5300,"OAK@TEN 01:00PM ET",0,"OAK"
"QB","Carson Wentz",5300,"PHI@WAS 01:00PM ET",15.186,"PHI"
"WR","Randall Cobb",5300,"SEA@GB 04:25PM ET",13.519,"GB"
"WR","Pierre Garcon",5300,"CAR@SF 04:25PM ET",12.756,"SF"
"RB","Danny Woodhead",5200,"BAL@CIN 01:00PM ET",13.550,"BAL"
"WR","Allen Robinson",5200,"JAX@HOU 01:00PM ET",12.831,"JAX"
"QB","Colt McCoy",5200,"PHI@WAS 01:00PM ET",0.000,"WAS"
"WR","Davante Adams",5200,"SEA@GB 04:25PM ET",16.442,"GB"
"RB","Lamar Miller",5100,"JAX@HOU 01:00PM ET",14.394,"HOU"
"TE","Jimmy Graham",5100,"SEA@GB 04:25PM ET",12.122,"SEA"
"QB","Brian Hoyer",5100,"CAR@SF 04:25PM ET",15.433,"SF"
"WR","Brandon Marshall",5100,"NYG@DAL 08:30PM ET",10.787,"NYG"
"WR","Cameron Meredith",5000,"ATL@CHI 01:00PM ET",13.820,"CHI"
"WR","Jeremy Maclin",5000,"BAL@CIN 01:00PM ET",8.792,"BAL"
"QB","Ryan Tannehill",5000,"TB@MIA 01:00PM ET",16.246,"MIA"
"WR","Eric Decker",5000,"OAK@TEN 01:00PM ET",14.467,"TEN"
"WR","Donte Moncrief",5000,"IND@LAR 04:05PM ET",11.400,"IND"
"RB","Eddie Lacy",5000,"SEA@GB 04:25PM ET",9.160,"SEA"
"RB","Jonathan Stewart",5000,"CAR@SF 04:25PM ET",11.646,"CAR"
"RB","Bilal Powell",4900,"NYJ@BUF 01:00PM ET",12.750,"NYJ"
"QB","Mike Glennon",4900,"ATL@CHI 01:00PM ET",4.500,"CHI"
"QB","Matt Moore",4900,"TB@MIA 01:00PM ET",10.071,"MIA"
"RB","Jacquizz Rodgers",4900,"TB@MIA 01:00PM ET",9.680,"TB"
"WR","DeSean Jackson",4900,"TB@MIA 01:00PM ET",12.219,"TB"
"RB","Matt Forte",4800,"NYJ@BUF 01:00PM ET",13.614,"NYJ"
"QB","DeShone Kizer",4800,"PIT@CLE 01:00PM ET",0,"CLE"
"QB","Cody Kessler",4800,"PIT@CLE 01:00PM ET",9.222,"CLE"
"WR","Kenny Britt",4800,"PIT@CLE 01:00PM ET",13.547,"CLE"
"WR","John Brown",4800,"ARI@DET 01:00PM ET",7.113,"ARI"
"QB","Tom Savage",4800,"JAX@HOU 01:00PM ET",6.213,"HOU"
"QB","Deshaun Watson",4800,"JAX@HOU 01:00PM ET",0,"HOU"
"QB","Blake Bortles",4800,"JAX@HOU 01:00PM ET",19.256,"JAX"
"QB","Ryan Fitzpatrick",4800,"TB@MIA 01:00PM ET",11.029,"TB"
"RB","Doug Martin",4800,"TB@MIA 01:00PM ET",10.813,"TB"
"QB","Jared Goff",4800,"IND@LAR 04:05PM ET",7.770,"LAR"
"RB","Thomas Rawls",4800,"SEA@GB 04:25PM ET",9.827,"SEA"
"QB","Geno Smith",4800,"NYG@DAL 08:30PM ET",4.470,"NYG"
"QB","AJ McCarron",4700,"BAL@CIN 01:00PM ET",0.000,"CIN"
"RB","Terrance West",4700,"BAL@CIN 01:00PM ET",10.875,"BAL"
"QB","Landry Jones",4700,"PIT@CLE 01:00PM ET",4.490,"PIT"
"RB","Theo Riddick",4700,"ARI@DET 01:00PM ET",16.180,"DET"
"QB","Brett Hundley",4700,"SEA@GB 04:25PM ET",0.176,"GB"
"QB","Colin Kaepernick",4700,"CAR@SF 04:25PM ET",17.787,"SF"
"WR","Cole Beasley",4700,"NYG@DAL 08:30PM ET",11.618,"DAL"
"QB","Josh McCown",4600,"NYJ@BUF 01:00PM ET",13.620,"NYJ"
"QB","Mitchell Trubisky",4600,"ATL@CHI 01:00PM ET",0,"CHI"
"TE","Tyler Eifert",4600,"BAL@CIN 01:00PM ET",12.675,"CIN"
"RB","Duke Johnson Jr.",4600,"PIT@CLE 01:00PM ET",9.075,"CLE"
"QB","Nick Foles",4600,"PHI@WAS 01:00PM ET",9.333,"PHI"
"RB","Carlos Hyde",4600,"CAR@SF 04:25PM ET",15.469,"SF"
"QB","Matt Schaub",4500,"ATL@CHI 01:00PM ET",0.088,"ATL"
"RB","Giovani Bernard",4500,"BAL@CIN 01:00PM ET",12.630,"CIN"
"QB","Ryan Mallett",4500,"BAL@CIN 01:00PM ET",-0.140,"BAL"
"WR","Mike Wallace",4500,"BAL@CIN 01:00PM ET",13.050,"BAL"
"QB","Brock Osweiler",4500,"PIT@CLE 01:00PM ET",12.640,"CLE"
"RB","James Conner",4500,"PIT@CLE 01:00PM ET",0,"PIT"
"QB","Blaine Gabbert",4500,"ARI@DET 01:00PM ET",13.283,"ARI"
"QB","Matt Cassel",4500,"OAK@TEN 01:00PM ET",3.532,"TEN"
"QB","Connor Cook",4500,"OAK@TEN 01:00PM ET",3.860,"OAK"
"RB","LeGarrette Blount",4500,"PHI@WAS 01:00PM ET",14.528,"PHI"
"QB","Scott Tolzien",4500,"IND@LAR 04:05PM ET",2.735,"IND"
"QB","Trevone Boykin",4500,"SEA@GB 04:25PM ET",1.483,"SEA"
"QB","Christian Hackenberg",4400,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Jordan Matthews",4400,"NYJ@BUF 01:00PM ET",12.457,"BUF"
"RB","Jeremy Hill",4400,"BAL@CIN 01:00PM ET",12.153,"CIN"
"WR","Corey Coleman",4400,"PIT@CLE 01:00PM ET",9.630,"CLE"
"WR","Tyler Lockett",4400,"SEA@GB 04:25PM ET",8.473,"SEA"
"QB","Kellen Moore",4400,"NYG@DAL 08:30PM ET",0,"DAL"
"RB","Alfred Morris",4400,"NYG@DAL 08:30PM ET",2.886,"DAL"
"QB","Mark Sanchez",4300,"ATL@CHI 01:00PM ET",0.507,"CHI"
"RB","Ameer Abdullah",4300,"ARI@DET 01:00PM ET",13.400,"DET"
"QB","Chad Henne",4300,"JAX@HOU 01:00PM ET",-0.200,"JAX"
"TE","Delanie Walker",4300,"OAK@TEN 01:00PM ET",12.740,"TEN"
"RB","Rob Kelley",4300,"PHI@WAS 01:00PM ET",9.040,"WAS"
"RB","Frank Gore",4300,"IND@LAR 04:05PM ET",13.825,"IND"
"QB","Sean Mannion",4300,"IND@LAR 04:05PM ET",-0.113,"LAR"
"WR","Devin Funchess",4300,"CAR@SF 04:25PM ET",5.740,"CAR"
"RB","Paul Perkins",4300,"NYG@DAL 08:30PM ET",5.900,"NYG"
"QB","T.J. Yates",4200,"NYJ@BUF 01:00PM ET",0.000,"BUF"
"WR","Mohamed Sanu",4200,"ATL@CHI 01:00PM ET",10.061,"ATL"
"WR","Kevin White",4200,"ATL@CHI 01:00PM ET",9.650,"CHI"
"RB","Alfred Blue",4200,"JAX@HOU 01:00PM ET",3.975,"HOU"
"WR","Rishard Matthews",4200,"OAK@TEN 01:00PM ET",13.844,"TEN"
"RB","Samaje Perine",4200,"PHI@WAS 01:00PM ET",0,"WAS"
"WR","Marvin Jones Jr.",4100,"ARI@DET 01:00PM ET",11.900,"DET"
"QB","Drew Stanton",4100,"ARI@DET 01:00PM ET",2.476,"ARI"
"RB","D'Onta Foreman",4100,"JAX@HOU 01:00PM ET",0,"HOU"
"RB","Kenyan Drake",4100,"TB@MIA 01:00PM ET",2.912,"MIA"
"RB","DeAndre Washington",4100,"OAK@TEN 01:00PM ET",5.488,"OAK"
"TE","Martellus Bennett",4100,"SEA@GB 04:25PM ET",10.372,"GB"
"RB","C.J. Prosise",4100,"SEA@GB 04:25PM ET",10.167,"SEA"
"RB","Tim Hightower",4100,"CAR@SF 04:25PM ET",8.113,"SF"
"WR","Sterling Shepard",4100,"NYG@DAL 08:30PM ET",11.629,"NYG"
"QB","Nathan Peterman",4000,"NYJ@BUF 01:00PM ET",0,"BUF"
"QB","Bryce Petty",4000,"NYJ@BUF 01:00PM ET",6.710,"NYJ"
"QB","Matt Simms",4000,"ATL@CHI 01:00PM ET",0,"ATL"
"QB","Alek Torgersen",4000,"ATL@CHI 01:00PM ET",0,"ATL"
"WR","Taylor Gabriel",4000,"ATL@CHI 01:00PM ET",10.367,"ATL"
"QB","Connor Shaw",4000,"ATL@CHI 01:00PM ET",0,"CHI"
"QB","Jeff Driskel",4000,"BAL@CIN 01:00PM ET",0,"CIN"
"QB","Dustin Vaughan",4000,"BAL@CIN 01:00PM ET",0,"BAL"
"QB","Josh Woodrum",4000,"BAL@CIN 01:00PM ET",0,"BAL"
"QB","Robert Griffin III",4000,"PIT@CLE 01:00PM ET",14.088,"CLE"
"QB","Kevin Hogan",4000,"PIT@CLE 01:00PM ET",5.415,"CLE"
"WR","Josh Gordon",4000,"PIT@CLE 01:00PM ET",0,"CLE"
"QB","Joshua Dobbs",4000,"PIT@CLE 01:00PM ET",0,"PIT"
"QB","Bart Houston",4000,"PIT@CLE 01:00PM ET",0,"PIT"
"RB","Fitzgerald Toussaint",4000,"PIT@CLE 01:00PM ET",0.672,"PIT"
"WR","Justin Hunter",4000,"PIT@CLE 01:00PM ET",4.069,"PIT"
"QB","Jake Rudock",4000,"ARI@DET 01:00PM ET",0,"DET"
"QB","Brad Kaaya",4000,"ARI@DET 01:00PM ET",0,"DET"
"QB","Trevor Knight",4000,"ARI@DET 01:00PM ET",0,"ARI"
"QB","Brandon Weeden",4000,"JAX@HOU 01:00PM ET",0,"HOU"
"QB","Brandon Allen",4000,"JAX@HOU 01:00PM ET",0,"JAX"
"QB","Brandon Doughty",4000,"TB@MIA 01:00PM ET",0,"MIA"
"QB","David Fales",4000,"TB@MIA 01:00PM ET",0.440,"MIA"
"QB","Sefo Liufau",4000,"TB@MIA 01:00PM ET",0,"TB"
"QB","Ryan Griffin",4000,"TB@MIA 01:00PM ET",0,"TB"
"QB","Alex Tanney",4000,"OAK@TEN 01:00PM ET",0,"TEN"
"QB","Tyler Ferguson",4000,"OAK@TEN 01:00PM ET",0,"TEN"
"WR","Corey Davis",4000,"OAK@TEN 01:00PM ET",0,"TEN"
"QB","EJ Manuel",4000,"OAK@TEN 01:00PM ET",1.206,"OAK"
"QB","Dane Evans",4000,"PHI@WAS 01:00PM ET",0,"PHI"
"QB","Matt McGloin",4000,"PHI@WAS 01:00PM ET",0.425,"PHI"
"QB","Nate Sudfeld",4000,"PHI@WAS 01:00PM ET",0.000,"WAS"
"QB","Phillip Walker",4000,"IND@LAR 04:05PM ET",0,"IND"
"QB","Stephen Morris",4000,"IND@LAR 04:05PM ET",0,"IND"
"RB","Robert Turbin",4000,"IND@LAR 04:05PM ET",7.220,"IND"
"QB","Dan Orlovsky",4000,"IND@LAR 04:05PM ET",0,"LAR"
"WR","Robert Woods",4000,"IND@LAR 04:05PM ET",9.377,"LAR"
"QB","Joe Callahan",4000,"SEA@GB 04:25PM ET",0,"GB"
"QB","Taysom Hill",4000,"SEA@GB 04:25PM ET",0,"GB"
"QB","Austin Davis",4000,"SEA@GB 04:25PM ET",0,"SEA"
"QB","Nick Mullens",4000,"CAR@SF 04:25PM ET",0,"SF"
"QB","C.J. Beathard",4000,"CAR@SF 04:25PM ET",0,"SF"
"QB","Matt Barkley",4000,"CAR@SF 04:25PM ET",13.834,"SF"
"RB","Joe Williams",4000,"CAR@SF 04:25PM ET",0,"SF"
"QB","Garrett Gilbert",4000,"CAR@SF 04:25PM ET",0,"CAR"
"QB","Joe Webb",4000,"CAR@SF 04:25PM ET",0.093,"CAR"
"QB","Luke McCown",4000,"NYG@DAL 08:30PM ET",0,"DAL"
"QB","Cooper Rush",4000,"NYG@DAL 08:30PM ET",0,"DAL"
"QB","Davis Webb",4000,"NYG@DAL 08:30PM ET",0,"NYG"
"QB","Josh Johnson",4000,"NYG@DAL 08:30PM ET",0,"NYG"
"RB","Jonathan Williams",3900,"NYJ@BUF 01:00PM ET",1.309,"BUF"
"DST","Bills ",3900,"NYJ@BUF 01:00PM ET",6.500,"BUF"
"RB","Jeremy Langford",3900,"ATL@CHI 01:00PM ET",6.267,"CHI"
"WR","Eli Rogers",3900,"PIT@CLE 01:00PM ET",9.513,"PIT"
"RB","Chris Johnson",3900,"ARI@DET 01:00PM ET",3.875,"ARI"
"WR","Braxton Miller",3900,"JAX@HOU 01:00PM ET",3.090,"HOU"
"RB","T.J. Yeldon",3900,"JAX@HOU 01:00PM ET",9.247,"JAX"
"RB","Charles Sims",3900,"TB@MIA 01:00PM ET",9.843,"TB"
"RB","Jalen Richard",3900,"OAK@TEN 01:00PM ET",6.976,"OAK"
"RB","Darren Sproles",3900,"PHI@WAS 01:00PM ET",11.033,"PHI"
"RB","Malcolm Brown",3900,"IND@LAR 04:05PM ET",0.656,"LAR"
"RB","Jamaal Williams",3900,"SEA@GB 04:25PM ET",0,"GB"
"RB","Rod Smith",3900,"NYG@DAL 08:30PM ET",0.200,"DAL"
"TE","Jason Witten",3900,"NYG@DAL 08:30PM ET",10.247,"DAL"
"WR","Robby Anderson",3800,"NYJ@BUF 01:00PM ET",7.244,"NYJ"
"WR","Sammie Coates",3800,"PIT@CLE 01:00PM ET",5.076,"PIT"
"RB","Zach Zenner",3800,"ARI@DET 01:00PM ET",7.253,"DET"
"RB","Kerwynn Williams",3800,"ARI@DET 01:00PM ET",2.930,"ARI"
"WR","Will Fuller V",3800,"JAX@HOU 01:00PM ET",9.156,"HOU"
"DST","Texans ",3800,"JAX@HOU 01:00PM ET",6.222,"HOU"
"WR","Marqise Lee",3800,"JAX@HOU 01:00PM ET",11.588,"JAX"
"RB","Damien Williams",3800,"TB@MIA 01:00PM ET",6.450,"MIA"
"WR","Kenny Stills",3800,"TB@MIA 01:00PM ET",10.871,"MIA"
"RB","Wendell Smallwood",3800,"PHI@WAS 01:00PM ET",4.131,"PHI"
"WR","Nelson Agholor",3800,"PHI@WAS 01:00PM ET",5.860,"PHI"
"WR","Tavon Austin",3800,"IND@LAR 04:05PM ET",9.853,"LAR"
"WR","Jeremy Kerley",3800,"CAR@SF 04:25PM ET",9.419,"SF"
"WR","Terrance Williams",3800,"NYG@DAL 08:30PM ET",8.071,"DAL"
"RB","Shane Vereen",3800,"NYG@DAL 08:30PM ET",8.040,"NYG"
"WR","ArDarius Stewart",3700,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Brandon LaFell",3700,"BAL@CIN 01:00PM ET",11.813,"CIN"
"WR","J.J. Nelson",3700,"ARI@DET 01:00PM ET",9.540,"ARI"
"DST","Jaguars ",3700,"JAX@HOU 01:00PM ET",4.500,"JAX"
"RB","Jeremy McNichols",3700,"TB@MIA 01:00PM ET",0,"TB"
"WR","Torrey Smith",3700,"PHI@WAS 01:00PM ET",5.392,"PHI"
"RB","Chris Thompson",3700,"PHI@WAS 01:00PM ET",9.281,"WAS"
"TE","Jack Doyle",3700,"IND@LAR 04:05PM ET",9.150,"IND"
"WR","Cooper Kupp",3700,"IND@LAR 04:05PM ET",0,"LAR"
"RB","Aaron Jones",3700,"SEA@GB 04:25PM ET",0,"GB"
"WR","Paul Richardson",3700,"SEA@GB 04:25PM ET",4.847,"SEA"
"RB","Fozzy Whittaker",3700,"CAR@SF 04:25PM ET",4.756,"CAR"
"RB","Benny Cunningham",3600,"ATL@CHI 01:00PM ET",2.933,"CHI"
"WR","Tyler Boyd",3600,"BAL@CIN 01:00PM ET",7.819,"CIN"
"WR","JuJu Smith-Schuster",3600,"PIT@CLE 01:00PM ET",0,"PIT"
"DST","Steelers ",3600,"PIT@CLE 01:00PM ET",6.579,"PIT"
"WR","Kenny Golladay",3600,"ARI@DET 01:00PM ET",0,"DET"
"TE","Eric Ebron",3600,"ARI@DET 01:00PM ET",10.607,"DET"
"RB","Chris Ivory",3600,"JAX@HOU 01:00PM ET",9.136,"JAX"
"WR","Adam Humphries",3600,"TB@MIA 01:00PM ET",9.067,"TB"
"WR","Taywan Taylor",3600,"OAK@TEN 01:00PM ET",0,"TEN"
"WR","Jeff Janis",3600,"SEA@GB 04:25PM ET",1.900,"GB"
"WR","Curtis Samuel",3600,"CAR@SF 04:25PM ET",0,"CAR"
"WR","Zay Jones",3500,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Anquan Boldin",3500,"NYJ@BUF 01:00PM ET",10.459,"BUF"
"RB","Elijah McGuire",3500,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Charone Peake",3500,"NYJ@BUF 01:00PM ET",2.907,"NYJ"
"WR","Markus Wheaton",3500,"ATL@CHI 01:00PM ET",4.275,"CHI"
"WR","Breshad Perriman",3500,"BAL@CIN 01:00PM ET",6.319,"BAL"
"WR","Jaelen Strong",3500,"JAX@HOU 01:00PM ET",3.388,"HOU"
"WR","Allen Hurns",3500,"JAX@HOU 01:00PM ET",9.155,"JAX"
"RB","Donnel Pumphrey",3500,"PHI@WAS 01:00PM ET",0,"PHI"
"TE","Zach Ertz",3500,"PHI@WAS 01:00PM ET",13.543,"PHI"
"WR","Josh Doctson",3500,"PHI@WAS 01:00PM ET",4.300,"WAS"
"WR","Kamar Aiken",3500,"IND@LAR 04:05PM ET",4.238,"IND"
"RB","Devante Mays",3500,"SEA@GB 04:25PM ET",0,"GB"
"DST","Panthers ",3500,"CAR@SF 04:25PM ET",8.000,"CAR"
"RB","Wayne Gallman",3500,"NYG@DAL 08:30PM ET",0,"NYG"
"RB","Andre Ellington",3400,"ARI@DET 01:00PM ET",1.881,"ARI"
"DST","Buccaneers ",3400,"TB@MIA 01:00PM ET",8.313,"TB"
"WR","Ryan Grant",3400,"PHI@WAS 01:00PM ET",1.038,"WAS"
"RB","Marlon Mack",3400,"IND@LAR 04:05PM ET",0,"IND"
"WR","Jermaine Kearse",3400,"SEA@GB 04:25PM ET",5.733,"SEA"
"DST","Falcons ",3300,"ATL@CHI 01:00PM ET",7.167,"ATL"
"WR","Victor Cruz",3300,"ATL@CHI 01:00PM ET",6.788,"CHI"
"WR","John Ross",3300,"BAL@CIN 01:00PM ET",0,"CIN"
"RB","Dwayne Washington",3300,"ARI@DET 01:00PM ET",3.746,"DET"
"WR","Jaron Brown",3300,"ARI@DET 01:00PM ET",5.100,"ARI"
"WR","Seth Roberts",3300,"OAK@TEN 01:00PM ET",6.635,"OAK"
"TE","Jared Cook",3300,"OAK@TEN 01:00PM ET",10.123,"OAK"
"WR","Phillip Dorsett",3300,"IND@LAR 04:05PM ET",6.587,"IND"
"WR","Aldrick Robinson",3300,"CAR@SF 04:25PM ET",3.739,"SF"
"WR","Russell Shepard",3300,"CAR@SF 04:25PM ET",5.000,"CAR"
"WR","Roger Lewis",3300,"NYG@DAL 08:30PM ET",2.050,"NYG"
"TE","Charles Clay",3200,"NYJ@BUF 01:00PM ET",9.080,"BUF"
"WR","Kendall Wright",3200,"ATL@CHI 01:00PM ET",8.464,"CHI"
"RB","Ryan Mathews",3200,"PHI@WAS 01:00PM ET",11.738,"PHI"
"DST","Rams ",3200,"IND@LAR 04:05PM ET",5.813,"LAR"
"WR","Marquise Goodwin",3200,"CAR@SF 04:25PM ET",6.207,"SF"
"WR","Tavarres King",3200,"NYG@DAL 08:30PM ET",2.913,"NYG"
"DST","Bengals ",3100,"BAL@CIN 01:00PM ET",6.125,"CIN"
"TE","C.J. Fiedorowicz",3100,"JAX@HOU 01:00PM ET",8.941,"HOU"
"TE","Cameron Brate",3100,"TB@MIA 01:00PM ET",11.400,"TB"
"WR","Tajae Sharpe",3100,"OAK@TEN 01:00PM ET",6.581,"TEN"
"RB","Elijah Hood",3100,"OAK@TEN 01:00PM ET",0,"OAK"
"WR","Brian Quick",3100,"PHI@WAS 01:00PM ET",7.213,"WAS"
"WR","Pharoh Cooper",3100,"IND@LAR 04:05PM ET",2.360,"LAR"
"RB","Orleans Darkwa",3100,"NYG@DAL 08:30PM ET",2.630,"NYG"
"RB","Mike Tolbert",3000,"NYJ@BUF 01:00PM ET",2.163,"BUF"
"RB","Joe Banyard",3000,"NYJ@BUF 01:00PM ET",0.700,"BUF"
"RB","Patrick DiMarco",3000,"NYJ@BUF 01:00PM ET",1.239,"BUF"
"RB","Taiwan Jones",3000,"NYJ@BUF 01:00PM ET",0.536,"BUF"
"RB","Cedric O'Neal",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"RB","Jordan Johnson",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Daikiel Shorts",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Andre Holmes",3000,"NYJ@BUF 01:00PM ET",3.506,"BUF"
"WR","Philly Brown",3000,"NYJ@BUF 01:00PM ET",3.763,"BUF"
"WR","Walter Powell",3000,"NYJ@BUF 01:00PM ET",3.133,"BUF"
"WR","Rod Streater",3000,"NYJ@BUF 01:00PM ET",3.069,"BUF"
"WR","Brandon Reilly",3000,"NYJ@BUF 01:00PM ET",0,"BUF"
"WR","Jeremy Butler",3000,"NYJ@BUF 01:00PM ET",0.775,"BUF"
"WR","Rashad Ross",3000,"NYJ@BUF 01:00PM ET",0.360,"BUF"
"WR","Dezmin Lewis",3000,"NYJ@BUF 01:00PM ET",0.000,"BUF"
"WR","Brandon Tate",3000,"NYJ@BUF 01:00PM ET",1.633,"BUF"
"RB","Julian Howsare",3000,"NYJ@BUF 01:00PM ET",0.000,"NYJ"
"RB","Anthony Firkser",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"RB","Marcus Murphy",3000,"NYJ@BUF 01:00PM ET",0.433,"NYJ"
"RB","Jordan Todman",3000,"NYJ@BUF 01:00PM ET",0.744,"NYJ"
"RB","Algernon Brown",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"RB","Romar Morris",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Deshon Foxx",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Chris Harper",3000,"NYJ@BUF 01:00PM ET",2.922,"NYJ"
"WR","Gabe Marks",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Myles White",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Frankie Hammond Jr.",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Quincy Enunwa",3000,"NYJ@BUF 01:00PM ET",10.744,"NYJ"
"WR","Chad Hansen",3000,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Marquess Wilson",3000,"NYJ@BUF 01:00PM ET",11.333,"NYJ"
"WR","Jalin Marshall",3000,"NYJ@BUF 01:00PM ET",4.020,"NYJ"
"WR","Lucky Whitehead",3000,"NYJ@BUF 01:00PM ET",0.938,"NYJ"
"RB","Kelvin Taylor",3000,"ATL@CHI 01:00PM ET",0,"ATL"
